continent,total_confirmed,total_deaths,total_recovered,active_cases,total_tests
Asia,147473,6736,98073,42664,707244
Europe,133081,2457,130222,402,916777
Africa,171392,4254,115276,51862,230861
Europe,14678,128,14210,340,193595
Africa,42646,1008,36708,4930,681443
North America,113,,111,2,31656
North America,1303,43,1235,25,17147
South America,4929764,105721,4569552,254491,19423553
Asia,230110,4614,219864,5632,1340258
North America,11730,110,11160,460,177885
Australia/Oceania,34130,924,29926,3280,25012386
Europe,659056,10737,643027,5292,66567305
Asia,343849,5023,332926,5900,4034340
North America,14840,287,12606,1947,119868
Asia,269186,1384,266796,1006,5447238
Asia,1249484,20685,1078212,150587,7740894
North America,4390,48,4229,113,217703
Europe,446040,3454,440200,2386,7294282
Europe,1124715,25241,1058072,41402,17186118
North America,14163,337,13420,406,183918
Africa,8394,108,8136,150,604310
North America,2553,33,2495,25,377525
Asia,2515,2,2374,139,798573
South America,472813,17806,407072,47935,2063100
Europe,205655,9687,189369,6599,1071650
Africa,106690,1569,95323,9798,1470906
South America,19917855,556370,18619542,741943,55034721
North America,2500,31,1914,555,73138
Asia,337,3,280,54,152986
Europe,424872,18211,398536,8125,3612178
Africa,13573,169,13369,35,203620
Africa,7080,9,773,6298,345742
Africa,33791,298,33011,482,198849
Asia,77243,1397,69996,5850,1809439
Africa,82064,1334,80433,297,1751774
North America,1430825,26598,1397641,6586,38466868
North America,1707,17,1661,29,12584
North America,643,2,631,10,117247
Africa,7151,98,6859,194,54814
Africa,4973,174,4792,7,131713
Europe,9208,86,6558,2564,713221
South America,1615771,35448,1570492,9831,18662297
Asia,11985,212,11713,60,21390075
Asia,59,,54,5,4671
Asia,92930,4636,87323,971,160000000
South America,4785320,120723,4578519,86078,22533319
Africa,4028,147,3865,16,
Africa,13186,178,12421,587,188207
North America,406814,5030,329639,72145,1734362
Africa,50135,329,49261,545,785677
Europe,363615,8259,354238,1118,2299700
North America,384596,2758,338968,42870,6516361
North America,13625,126,12853,646,181317
Asia,101419,419,80178,20822,9366973
Europe,1673576,30373,1640314,2889,32954689
Africa,49917,1038,29994,18885,266505
Europe,316807,2549,303182,11076,76232150
Africa,11651,156,11490,5,191385
North America,210,,200,10,21152
North America,341905,3963,323333,14609,1837882
South America,486544,31591,443880,11073,1683188
Africa,284215,16518,229712,37985,3068679
North America,86620,2629,76265,7726,1140958
Africa,8880,123,8637,120,171690
Africa,6547,35,6444,68,23693
Europe,133557,1272,128898,3387,1620824
Africa,280365,4385,263500,12480,3019053
Europe,983,2,943,38,369142
South America,63,,63,0,7307
Australia/Oceania,29781,238,7705,21838,312913
Europe,106802,982,46000,59820,5902996
Europe,6127019,111867,5700815,314337,104611244
South America,30164,187,9995,19982,322491
Australia/Oceania,20048,149,19206,693,26355
Africa,25384,164,25166,54,981229
Africa,7709,212,6600,897,91290
Asia,419534,5820,382393,31321,6781466
Europe,3776721,92171,3653300,31250,67083026
Africa,103019,823,97213,4983,1416952
Europe,4965,94,4471,400,310308
Europe,493304,12940,446985,33379,12804347
North America,119,,78,41,40906
North America,164,1,161,2,43173
North America,19503,242,2250,17011,256597
North America,368484,10339,321832,36313,1870705
Africa,4451,75,3897,479,81223
Africa,25688,220,24148,1320,497071
South America,22458,535,21166,757,224529
North America,20157,555,14248,5354,99119
Europe,27,,27,0,
North America,297111,7834,100697,188580,880357
Europe,809491,30026,748157,31308,6328373
Europe,7959,30,6716,1213,861755
Asia,31654584,424384,30812873,417327,466427038
Asia,3409658,94119,2770092,545447,26301202
Asia,3871008,90630,3367272,413106,25857430
Asia,1626599,18657,1464273,143669,13076929
Europe,300976,5035,267749,28192,4729538
Europe,4760,29,3365,1366,83753
Asia,874018,6473,849081,18464,16462447
Europe,4350028,128063,4134680,87285,77544194
North America,52895,1190,46979,4726,495187
Asia,913755,15184,834967,63604,18382964
Asia,770712,10032,750518,10162,8493724
Asia,572576,5866,473344,93366,11575012
Africa,203213,3931,188936,10346,2132355
Asia,397831,2320,384062,11449,3404612
Asia,162892,2325,144564,16003,1537723
Asia,6299,7,2804,3488,307597
Europe,138863,2556,135583,724,3133384
Asia,561380,7906,537111,16363,4731376
Africa,12908,374,6649,5885,131070
Africa,5396,148,2715,2533,128246
Africa,249114,3509,190978,54627,1289791
Europe,3085,59,3009,17,49126
Europe,282818,4415,269309,9094,4034707
Europe,73870,822,71867,1181,3274615
Europe,156380,5493,150362,525,976710
Africa,42652,943,41127,582,226894
Africa,51809,1614,37693,12502,336482
Asia,1113272,9024,914639,189609,18160251
Asia,77432,221,74598,2613,1174013
Africa,14584,532,13945,107,344812
Europe,34295,423,31629,2243,1090666
Australia/Oceania,4,,4,0,
North America,19149,111,104,18934,224685
Africa,25691,562,22228,2901,369541
Africa,3913,19,1854,2040,358675
Africa,19494,174,2964,16356,176919
North America,2829443,240456,2204109,384878,8421353
Australia/Oceania,1,,1,0,
Europe,259478,6255,252051,1172,1411818
Europe,2889,33,2707,149,54960
Asia,164155,815,164829,-1489,3446882
Europe,101927,1630,98971,1326,505853
North America,21,1,19,1,1408
Africa,623528,9785,561930,51813,7608707
Africa,122028,1434,88380,32214,738694
Asia,299185,9334,209512,80339,3159445
Africa,118922,3044,95250,20628,613229
Asia,695389,9857,654177,31355,3603465
Europe,1865511,17827,1668004,179680,15767121
Australia/Oceania,134,,58,76,38831
Australia/Oceania,2870,26,2799,45,2473000
North America,9470,195,4225,5050,
Africa,5623,195,5342,86,129856
Africa,173411,2149,164978,6284,2439850
Europe,137627,799,88952,47876,6586068
Asia,295857,3814,278195,13848,1550000
Asia,1029811,23360,940164,66287,15995153
North America,434460,6808,415265,12387,3357308
Australia/Oceania,17717,192,17324,201,147179
South America,452085,14929,419028,18128,1678142
South America,2109294,196291,,,15476472
Asia,1588965,27889,1500189,60887,16682875
Europe,2882939,75261,2653700,153978,18556710
Europe,968631,17361,902014,49256,15214294
Asia,226239,601,223732,1906,2332220
Africa,37231,275,33894,3062,103924
Europe,1083189,34281,1047723,1185,10538056
Europe,6265873,158563,5608619,498691,165300000
Africa,70698,808,44837,25053,2075225
North America,1195,1,462,732,38369
Africa,2,,2,0,
North America,589,3,542,44,25930
North America,5581,89,5368,124,59805
North America,2579,38,1399,1142,46787
North America,28,,26,2,6128
North America,2291,12,2229,50,60851
Australia/Oceania,3,,3,0,
Europe,5130,90,5005,35,70326
Africa,2446,37,2358,51,14270
Asia,525730,8237,506089,11404,25029275
Africa,62290,1353,47136,13801,647192
Europe,721918,7114,710555,4249,4671408
Africa,18189,94,17538,557,21504
Africa,6283,120,4270,1893,160358
Asia,64981,37,62863,2081,15726438
North America,2770,34,2655,81,35043
Europe,392647,12540,379535,572,3145755
Europe,259215,4429,253742,1044,1392022
Australia/Oceania,20,,20,0,4500
Africa,15358,809,7498,7051,167465
Africa,2447454,72013,2222338,153103,14862859
Asia,198345,2095,174177,22073,11728821
Africa,11049,119,10514,416,174045
Europe,4447044,81486,3711200,654358,55855941
Asia,308812,4436,277118,27258,4254600
Asia,316738,3603,311832,1303,1992937
Africa,37138,2776,30867,3495,234414
South America,25287,645,21610,3032,91143
Africa,25979,787,20918,4274,254449
Europe,1100040,14617,1076030,9393,11300881
Europe,717665,10906,692101,14658,9053135
Asia,25963,1914,21987,2062,103566
Asia,15674,787,14110,777,3757334
Asia,15082,121,14556,405,
Africa,1017,21,183,813,
Asia,597287,4857,391920,200510,8129670
Asia,10898,26,9889,983,95473
Africa,15798,152,14450,1196,405191
North America,38811,1070,31783,5958,269008
Africa,589565,19686,510696,59183,2248435
Asia,5727045,51332,5454360,221353,67868851
North America,2484,18,2431,35,94789
Africa,93927,2690,83115,8122,1469682
Europe,5856528,129654,4508650,1218224,244114700
Europe,2252785,52945,2186863,12977,11381585
Asia,680858,1949,658198,20711,65922553
South America,381364,5959,373290,2115,3056723
North America,35733967,629290,29666084,5438593,529577328
Asia,129327,874,123164,5289,1377915
Australia/Oceania,4,1,3,0,23000
South America,304726,3576,288864,12286,3359014
Asia,141122,1161,35484,104477,11890084
Australia/Oceania,445,7,438,0,20508
Africa,10,1,8,1,
Asia,7061,1375,4185,1501,152937
Africa,195816,3389,187236,5191,2089592
Africa,107490,3490,74562,29438,1088771
